"project_id","num_team_year","num_commits_year","forks","watchers","hasWomenEver"
2,5,96,42,40,TRUE
10,220,868708,20,22,TRUE
64,2,8,1,5,FALSE
84,12,1061,45,39,FALSE
94,268,6547139,4,17,TRUE
98,18,3339,19,11,TRUE
107,4,37,0,1,FALSE
108,24,17752,10,73,TRUE
109,5,211,0,5,FALSE
142,15,238,43,32,TRUE
146,23,9979,62,154,FALSE
159,32,38277,56,36,TRUE
160,9,266,0,1,TRUE
185,145,67303,150,347,TRUE
218,2,138,2,6,FALSE
364,5,842,16,21,FALSE
398,3,183,3,18,FALSE
402,68,10124,401,3335,TRUE
406,32,4311,114,44,TRUE
409,7,74,19,61,FALSE
417,4,19,4,2,TRUE
422,226,35629,269,870,TRUE
434,651,589794,632,878,TRUE
454,5,142,6,2,FALSE
474,27,9302,66,40,TRUE
475,9,108,49,427,FALSE
496,313,156360,1194,3273,TRUE
540,921,1672172,2003,5530,TRUE
549,45,116051,47,218,TRUE
569,8,202,43,102,TRUE
587,403,379757,784,458,TRUE
608,274,145537,531,2343,TRUE
617,5,85,16,19,TRUE
680,15,921,31,66,FALSE
687,11,1933,3,9,TRUE
791,3,6,1,1,TRUE
807,41,209610,72,56,TRUE
818,7,2820,6,15,FALSE
829,8,1774,3,32,FALSE
847,268,704226,910,1856,TRUE
852,222,132390,930,1143,TRUE
860,102,259252,237,148,TRUE
887,3,76,4,8,FALSE
921,8,1198,8,100,FALSE
964,21,2879,29,1291,FALSE
972,25,1095,385,1958,TRUE
988,4,674,4,14,FALSE
1005,23,9563,51,61,TRUE
1056,28,389,50,45,TRUE
1081,31,1000,51,66,TRUE
1088,807,17078977,4464,7857,TRUE
1101,54,918894,43,177,TRUE
1109,3,127,6,6,FALSE
1113,68,32189,65,148,TRUE
1121,12,5806,11,5,FALSE
1149,19,291,24,21,TRUE
1158,8,1533,1,9,FALSE
1174,5,224,0,7,FALSE
1190,5,64,17,27,FALSE
1216,11,3092,54,100,TRUE
1223,5,226,14,20,FALSE
1226,873,3246333,3670,9139,TRUE
1258,14,5606,21,145,FALSE
1274,3,28,20,73,FALSE
1299,28,134634,39,20,FALSE
1317,5,76,2,5,TRUE
1337,11,15477,9,12,TRUE
1355,21,320,117,156,FALSE
1366,8,518,12,39,FALSE
1565,257,38770,375,1829,TRUE
1644,9,650,2,4,FALSE
1657,8,850,13,223,FALSE
1691,276,3534795,1119,824,TRUE
1741,13,676,29,41,TRUE
1779,4,20,27,340,FALSE
1800,6,2279,4,3,TRUE
1809,363,41958,245,1297,TRUE
1911,101,25811,231,190,TRUE
2047,3,93,2,5,FALSE
2093,576,1014874,1148,3104,TRUE
2094,14,2414,52,651,TRUE
2199,2,12,0,2,FALSE
2247,104,72141,324,587,TRUE
2286,5,26,1,2,FALSE
2301,14,233,125,1469,FALSE
2322,31,8119,29,103,FALSE
2384,4,457,3,6,FALSE
2422,17,4008,5,28,FALSE
2438,111,19420,213,747,TRUE
2466,39,7216,48,66,TRUE
2468,10,240,10,6,FALSE
2472,8,2932,13,23,FALSE
2473,3,193,1,8,FALSE
2546,6,1863,2,2,FALSE
2554,16,3250,53,235,TRUE
2597,118,19387,245,113,TRUE
2631,7,286,29,6,FALSE
2635,51,57642,172,491,TRUE
2644,7,191,8,373,TRUE
2676,189,26541,298,1211,TRUE
2685,14,166,48,19,FALSE
2702,5,2901,1,3,FALSE
2719,758,285697,654,3567,TRUE
2743,5,34,20,55,FALSE
2747,14,365,27,8,FALSE
2764,14,3284,15,7,TRUE
2768,4,1988,2,3,TRUE
2802,15,1678,26,2,TRUE
2816,9,142,8,1,FALSE
2857,439,32439,148,1177,TRUE
2863,22,16753,30,23,FALSE
2869,10,1783,72,383,TRUE
2887,12,210,25,293,TRUE
2919,27,999,42,53,FALSE
2985,12,1779,30,530,FALSE
2997,26,519,45,78,TRUE
3016,6,347,3,2,FALSE
3020,9,493,4,8,TRUE
3052,13,206,17,52,TRUE
3054,117,41407,569,601,TRUE
3084,3,94,11,4,FALSE
3159,3,106,14,3,TRUE
3222,4,18,5,6,FALSE
3231,2580,9233994,5516,8760,TRUE
3253,4,113,187,5,FALSE
3255,78,3663,108,73,FALSE
3271,6,626,7,2,FALSE
3311,31,678,59,60,TRUE
3317,5,281,0,1,FALSE
3329,54,4056,103,65,TRUE
3373,9,4666,5,15,FALSE
3381,19,564,55,32,TRUE
3383,6,977,6,10,FALSE
3386,24,1503,28,100,FALSE
3405,6,1010,13,38,FALSE
3419,12,1604,26,22,FALSE
3440,3,15,14,93,FALSE
3453,9,1078,0,2,FALSE
3502,5,80,4,4,FALSE
3545,756,3906439,1371,1362,TRUE
3566,3,152,3,5,FALSE
3595,37,8972,34,1172,TRUE
3617,6,479,2,1,FALSE
3740,21,27931,124,96,TRUE
3764,12,14098,11,12,FALSE
3769,59,2209,216,649,TRUE
3777,139,937385,166,110,TRUE
3794,18,8967,15,6,FALSE
3800,6,1048,9,6,TRUE
3869,9,411,14,38,FALSE
3925,2,32,2,4,FALSE
3966,4,194,0,2,FALSE
3981,267,11299266,850,639,TRUE
3993,4,28,3,12,FALSE
4010,12,1102,5,8,TRUE
4021,83,13549,315,844,TRUE
4106,3,66,1,3,FALSE
4125,3,28,1,4,TRUE
4179,5,936,1,1,FALSE
4184,9,1079,5,5,TRUE
4273,3,26,23,47,FALSE
